CustomerID,FirstName,LastName,Email,Phone,SignupDate,LoyaltyTier
1,Latasha,Booth,wilcoxalexander@gmail.com,(493)053-8705x38898,2022-10-07,Silver
2,Kristen,White,brownjason@kramer.com,001-759-212-0365x2326,2024-11-05,Gold
3,Robert,Cobb,bmoore@turner.com,+1-415-206-1569x9516,2022-08-22,Silver
4,Maria,Archer,marieashley@hotmail.com,(362)937-5852x25142,2023-05-14,Gold
5,John,Murray,sheilafrancis@moreno-smith.com,(719)678-2190x881,2023-08-01,Gold
6,Bianca,Lopez,gburke@murray.com,6146628773,2023-01-31,Gold
7,Stephen,Cervantes,lisachoi@conway-conley.info,+1-809-891-5311,2024-11-05,Bronze
8,John,Adams,markrogers@craig-banks.com,001-692-374-4169x229,2024-05-12,Silver
9,Tara,Lewis,suzanneparker@gmail.com,957.595.8912x5839,2025-01-25,Silver
10,Andrew,Barr,bhenry@gmail.com,534-219-4245x310,2024-06-13,Bronze
11,John,Peters,cardenastheresa@hotmail.com,001-052-635-4565x01181,2024-10-28,Gold
12,David,Morrow,whall@hotmail.com,482.193.3389x215,2024-03-22,Gold
13,Shannon,Gordon,barkermeghan@hotmail.com,081.610.9862x76023,2024-08-06,Gold
14,Ryan,Ward,michelle80@jordan.com,634.924.7927x13784,2023-09-19,Bronze
15,Joseph,Kennedy,alexandra63@gmail.com,+1-266-004-5831x122,2023-11-24,Silver
16,William,Smith,kristi99@yahoo.com,+1-406-744-3643x14020,2023-12-12,Bronze
17,Christine,Martinez,davieskaren@dudley.biz,(260)288-6201x51636,2025-05-06,Silver
18,Jenny,Glenn,zcardenas@gmail.com,545.144.7341x236,2025-07-21,Gold
19,Ricardo,Nichols,maria87@hopkins.com,(093)988-2759x2468,2023-06-03,Silver
20,April,Brewer,wflores@gmail.com,4823762133,2023-12-15,Bronze
21,Lindsay,Thomas,benjamin67@hotmail.com,(864)723-4822,2022-09-27,Bronze
22,Sierra,Rodriguez,potterdaniel@yahoo.com,874.384.7501,2024-12-15,Bronze
23,Jonathan,Walker,kelsey19@crawford-fuller.com,(902)253-2603x53925,2022-09-26,Silver
24,Ann,Thompson,ramirezcurtis@riddle.info,(821)606-5967x01432,2022-10-27,Gold
